Time (hr),mz128,mz139,mz245,mz267,mz318,mz386,mz408
1,3.83E+06,7.32E+07,115544,68309,132534,8704,5504
1.06,3.78E+06,7.41E+07,116548,71347,138833,8451,4850
1.12,3.91E+06,7.14E+07,1.26E+05,7.38E+04,1.31E+05,11268,4679
1.18,4.02E+06,7.50E+07,1.23E+05,8.59E+04,1.41E+05,10170,6621
1.24,4.19E+06,8.46E+07,1.19E+05,6.44E+04,1.20E+05,9688,5464
1.3,3.70E+06,7.08E+07,1.13E+05,7.16E+04,1.33E+05,8251,5426
1.36,3.74E+06,6.77E+07,1.02E+05,7.17E+04,145595,7982,7430
1.42,4.22E+06,7.94E+07,1.21E+05,6.94E+04,1.25E+05,9723,7377
1.48,4.67E+06,1.02E+08,1.03E+05,6.04E+04,1.35E+05,7592,5.99E+03
1.54,4.02E+06,7.61E+07,1.18E+05,6.65E+04,1.31E+05,9.01E+03,5.83E+03
1.6,3.81E+06,6.89E+07,1.12E+05,7.66E+04,1.31E+05,8.31E+03,6.42E+03
1.66,4.21E+06,8.22E+07,1.10E+05,6.34E+04,1.25E+05,8.46E+03,5.63E+03
1.72,4.05E+06,8.14E+07,1.14E+05,7.66E+04,1.32E+05,9.92E+03,7706