sample,strain,condition,replicate,temperature,timepoint,ara (M),iptg (M),orig_id
icar_003018R0,MG1655_IcaR_Gate,icar_003018,0,30,18,0.0,0.0,8310154
icar_003018R1,MG1655_IcaR_Gate,icar_003018,1,30,18,0.0,0.0,8310155
icar_003018R2,MG1655_IcaR_Gate,icar_003018,2,30,18,0.0,0.0,8310156
icar_003018R3,MG1655_IcaR_Gate,icar_003018,3,30,18,0.0,0.0,8310157
icar_00305R0,MG1655_IcaR_Gate,icar_00305,0,30,5,0.0,0.0,8310242
icar_00305R1,MG1655_IcaR_Gate,icar_00305,1,30,5,0.0,0.0,8310243
icar_00305R2,MG1655_IcaR_Gate,icar_00305,2,30,5,0.0,0.0,8310244
icar_00305R3,MG1655_IcaR_Gate,icar_00305,3,30,5,0.0,0.0,8310245
icar_003718R0,MG1655_IcaR_Gate,icar_003718,0,37,18,0.0,0.0,8309978
icar_003718R1,MG1655_IcaR_Gate,icar_003718,1,37,18,0.0,0.0,8309979
icar_003718R2,MG1655_IcaR_Gate,icar_003718,2,37,18,0.0,0.0,8309980
icar_003718R3,MG1655_IcaR_Gate,icar_003718,3,37,18,0.0,0.0,8309981
icar_00375R0,MG1655_IcaR_Gate,icar_00375,0,37,5,0.0,0.0,8310066
icar_00375R2,MG1655_IcaR_Gate,icar_00375,2,37,5,0.0,0.0,8310068
icar_00375R3,MG1655_IcaR_Gate,icar_00375,3,37,5,0.0,0.0,8310069
icar_013018R0,MG1655_IcaR_Gate,icar_013018,0,30,18,0.0,3.8812614e-05,8310222
icar_013018R1,MG1655_IcaR_Gate,icar_013018,1,30,18,0.0,3.8812614e-05,8310223
icar_013018R2,MG1655_IcaR_Gate,icar_013018,2,30,18,0.0,3.8812614e-05,8310224
icar_013018R3,MG1655_IcaR_Gate,icar_013018,3,30,18,0.0,3.8812614e-05,8310225
icar_01305R0,MG1655_IcaR_Gate,icar_01305,0,30,5,0.0,3.8812614e-05,8310310
icar_01305R1,MG1655_IcaR_Gate,icar_01305,1,30,5,0.0,3.8812614e-05,8310311
icar_01305R2,MG1655_IcaR_Gate,icar_01305,2,30,5,0.0,3.8812614e-05,8310312
icar_01305R3,MG1655_IcaR_Gate,icar_01305,3,30,5,0.0,3.8812614e-05,8310313
icar_013718R0,MG1655_IcaR_Gate,icar_013718,0,37,18,0.0,3.8266769e-05,8310046
icar_013718R1,MG1655_IcaR_Gate,icar_013718,1,37,18,0.0,3.8266769e-05,8310047
icar_013718R2,MG1655_IcaR_Gate,icar_013718,2,37,18,0.0,3.8266769e-05,8310048
icar_013718R3,MG1655_IcaR_Gate,icar_013718,3,37,18,0.0,3.8266769e-05,8310049
icar_01375R1,MG1655_IcaR_Gate,icar_01375,1,37,5,0.0,3.8266769e-05,8310135
icar_01375R2,MG1655_IcaR_Gate,icar_01375,2,37,5,0.0,3.8266769e-05,8310136
icar_01375R3,MG1655_IcaR_Gate,icar_01375,3,37,5,0.0,3.8266769e-05,8310137
nand_003018R0,MG1655_NAND_Circuit,nand_003018,0,30,18,0.0,0.0,8310178
nand_003018R1,MG1655_NAND_Circuit,nand_003018,1,30,18,0.0,0.0,8310179
nand_003018R2,MG1655_NAND_Circuit,nand_003018,2,30,18,0.0,0.0,8310180
nand_003018R3,MG1655_NAND_Circuit,nand_003018,3,30,18,0.0,0.0,8310181
nand_00305R0,MG1655_NAND_Circuit,nand_00305,0,30,5,0.0,0.0,8310266
nand_00305R1,MG1655_NAND_Circuit,nand_00305,1,30,5,0.0,0.0,8310267
nand_00305R2,MG1655_NAND_Circuit,nand_00305,2,30,5,0.0,0.0,8310268
nand_00305R3,MG1655_NAND_Circuit,nand_00305,3,30,5,0.0,0.0,8310269
nand_003718R0,MG1655_NAND_Circuit,nand_003718,0,37,18,0.0,0.0,8310002
nand_003718R1,MG1655_NAND_Circuit,nand_003718,1,37,18,0.0,0.0,8310003
nand_003718R2,MG1655_NAND_Circuit,nand_003718,2,37,18,0.0,0.0,8310004
nand_003718R3,MG1655_NAND_Circuit,nand_003718,3,37,18,0.0,0.0,8310005
nand_00375R0,MG1655_NAND_Circuit,nand_00375,0,37,5,0.0,0.0,8310090
nand_00375R1,MG1655_NAND_Circuit,nand_00375,1,37,5,0.0,0.0,8310091
nand_00375R2,MG1655_NAND_Circuit,nand_00375,2,37,5,0.0,0.0,8310092
nand_00375R3,MG1655_NAND_Circuit,nand_00375,3,37,5,0.0,0.0,8310093
nand_013018R0,MG1655_NAND_Circuit,nand_013018,0,30,18,0.0,3.8812614e-05,8310202
nand_013018R1,MG1655_NAND_Circuit,nand_013018,1,30,18,0.0,3.8812614e-05,8310203
nand_013018R2,MG1655_NAND_Circuit,nand_013018,2,30,18,0.0,3.8812614e-05,8310204
nand_013018R3,MG1655_NAND_Circuit,nand_013018,3,30,18,0.0,3.8812614e-05,8310205
nand_01305R0,MG1655_NAND_Circuit,nand_01305,0,30,5,0.0,3.8812614e-05,8310290
nand_01305R1,MG1655_NAND_Circuit,nand_01305,1,30,5,0.0,3.8812614e-05,8310291
nand_01305R2,MG1655_NAND_Circuit,nand_01305,2,30,5,0.0,3.8812614e-05,8310292
nand_01305R3,MG1655_NAND_Circuit,nand_01305,3,30,5,0.0,3.8812614e-05,8310293
nand_013718R0,MG1655_NAND_Circuit,nand_013718,0,37,18,0.0,3.8266769e-05,8310026
nand_013718R2,MG1655_NAND_Circuit,nand_013718,2,37,18,0.0,3.8266769e-05,8310028
nand_013718R3,MG1655_NAND_Circuit,nand_013718,3,37,18,0.0,3.8266769e-05,8310029
nand_01375R0,MG1655_NAND_Circuit,nand_01375,0,37,5,0.0,3.8266769e-05,8310114
nand_01375R2,MG1655_NAND_Circuit,nand_01375,2,37,5,0.0,3.8266769e-05,8310116
nand_01375R3,MG1655_NAND_Circuit,nand_01375,3,37,5,0.0,3.8266769e-05,8310117
nand_103018R0,MG1655_NAND_Circuit,nand_103018,0,30,18,0.003836358,0.0,8310158
nand_103018R1,MG1655_NAND_Circuit,nand_103018,1,30,18,0.003836358,0.0,8310159
nand_103018R2,MG1655_NAND_Circuit,nand_103018,2,30,18,0.003836358,0.0,8310160
nand_103018R3,MG1655_NAND_Circuit,nand_103018,3,30,18,0.003836358,0.0,8310161
nand_10305R0,MG1655_NAND_Circuit,nand_10305,0,30,5,0.003836358,0.0,8310246
nand_10305R1,MG1655_NAND_Circuit,nand_10305,1,30,5,0.003836358,0.0,8310247
nand_10305R2,MG1655_NAND_Circuit,nand_10305,2,30,5,0.003836358,0.0,8310248
nand_10305R3,MG1655_NAND_Circuit,nand_10305,3,30,5,0.003836358,0.0,8310249
nand_103718R0,MG1655_NAND_Circuit,nand_103718,0,37,18,0.00378305,0.0,8309982
nand_103718R1,MG1655_NAND_Circuit,nand_103718,1,37,18,0.00378305,0.0,8309983
nand_103718R2,MG1655_NAND_Circuit,nand_103718,2,37,18,0.00378305,0.0,8309984
nand_103718R3,MG1655_NAND_Circuit,nand_103718,3,37,18,0.00378305,0.0,8309985
nand_10375R0,MG1655_NAND_Circuit,nand_10375,0,37,5,0.00378305,0.0,8310070
nand_10375R1,MG1655_NAND_Circuit,nand_10375,1,37,5,0.00378305,0.0,8310071
nand_113018R0,MG1655_NAND_Circuit,nand_113018,0,30,18,0.003831525,3.8315204e-05,8310226
nand_113018R1,MG1655_NAND_Circuit,nand_113018,1,30,18,0.003831525,3.8315204e-05,8310227
nand_113018R2,MG1655_NAND_Circuit,nand_113018,2,30,18,0.003831525,3.8315204e-05,8310228
nand_113018R3,MG1655_NAND_Circuit,nand_113018,3,30,18,0.003831525,3.8315204e-05,8310229
nand_11305R0,MG1655_NAND_Circuit,nand_11305,0,30,5,0.003831525,3.8315204e-05,8310314
nand_11305R1,MG1655_NAND_Circuit,nand_11305,1,30,5,0.003831525,3.8315204e-05,8310315
nand_11305R2,MG1655_NAND_Circuit,nand_11305,2,30,5,0.003831525,3.8315204e-05,8310316
nand_113718R0,MG1655_NAND_Circuit,nand_113718,0,37,18,0.00377832,3.7783126e-05,8310050
nand_113718R1,MG1655_NAND_Circuit,nand_113718,1,37,18,0.00377832,3.7783126e-05,8310051
nand_113718R2,MG1655_NAND_Circuit,nand_113718,2,37,18,0.00377832,3.7783126e-05,8310052
nand_113718R3,MG1655_NAND_Circuit,nand_113718,3,37,18,0.00377832,3.7783126e-05,8310053
nand_11375R0,MG1655_NAND_Circuit,nand_11375,0,37,5,0.00377832,3.7783126e-05,8310138
nand_11375R1,MG1655_NAND_Circuit,nand_11375,1,37,5,0.00377832,3.7783126e-05,8310139
nand_11375R2,MG1655_NAND_Circuit,nand_11375,2,37,5,0.00377832,3.7783126e-05,8310140
nand_11375R3,MG1655_NAND_Circuit,nand_11375,3,37,5,0.00377832,3.7783126e-05,8310141
phlf_003018R0,MG1655_PhlF_Gate,phlf_003018,0,30,18,0.0,0.0,8310174
phlf_003018R1,MG1655_PhlF_Gate,phlf_003018,1,30,18,0.0,0.0,8310175
phlf_003018R2,MG1655_PhlF_Gate,phlf_003018,2,30,18,0.0,0.0,8310176
phlf_003018R3,MG1655_PhlF_Gate,phlf_003018,3,30,18,0.0,0.0,8310177
phlf_00305R0,MG1655_PhlF_Gate,phlf_00305,0,30,5,0.0,0.0,8310262
phlf_00305R1,MG1655_PhlF_Gate,phlf_00305,1,30,5,0.0,0.0,8310263
phlf_00305R2,MG1655_PhlF_Gate,phlf_00305,2,30,5,0.0,0.0,8310264
phlf_00305R3,MG1655_PhlF_Gate,phlf_00305,3,30,5,0.0,0.0,8310265
phlf_003718R0,MG1655_PhlF_Gate,phlf_003718,0,37,18,0.0,0.0,8309998
phlf_003718R1,MG1655_PhlF_Gate,phlf_003718,1,37,18,0.0,0.0,8309999
phlf_003718R2,MG1655_PhlF_Gate,phlf_003718,2,37,18,0.0,0.0,8310000
phlf_003718R3,MG1655_PhlF_Gate,phlf_003718,3,37,18,0.0,0.0,8310001
phlf_00375R0,MG1655_PhlF_Gate,phlf_00375,0,37,5,0.0,0.0,8310086
phlf_00375R1,MG1655_PhlF_Gate,phlf_00375,1,37,5,0.0,0.0,8310087
phlf_00375R2,MG1655_PhlF_Gate,phlf_00375,2,37,5,0.0,0.0,8310088
phlf_00375R3,MG1655_PhlF_Gate,phlf_00375,3,37,5,0.0,0.0,8310089
phlf_013018R0,MG1655_PhlF_Gate,phlf_013018,0,30,18,0.0,3.8812614e-05,8310198
phlf_013018R1,MG1655_PhlF_Gate,phlf_013018,1,30,18,0.0,3.8812614e-05,8310199
phlf_013018R2,MG1655_PhlF_Gate,phlf_013018,2,30,18,0.0,3.8812614e-05,8310200
phlf_013018R3,MG1655_PhlF_Gate,phlf_013018,3,30,18,0.0,3.8812614e-05,8310201
phlf_01305R0,MG1655_PhlF_Gate,phlf_01305,0,30,5,0.0,3.8812614e-05,8310286
phlf_01305R2,MG1655_PhlF_Gate,phlf_01305,2,30,5,0.0,3.8812614e-05,8310288
phlf_01305R3,MG1655_PhlF_Gate,phlf_01305,3,30,5,0.0,3.8812614e-05,8310289
phlf_013718R0,MG1655_PhlF_Gate,phlf_013718,0,37,18,0.0,3.8266769e-05,8310022
phlf_013718R2,MG1655_PhlF_Gate,phlf_013718,2,37,18,0.0,3.8266769e-05,8310024
phlf_013718R3,MG1655_PhlF_Gate,phlf_013718,3,37,18,0.0,3.8266769e-05,8310025
phlf_01375R0,MG1655_PhlF_Gate,phlf_01375,0,37,5,0.0,3.8266769e-05,8310110
phlf_01375R2,MG1655_PhlF_Gate,phlf_01375,2,37,5,0.0,3.8266769e-05,8310112
phlf_01375R3,MG1655_PhlF_Gate,phlf_01375,3,37,5,0.0,3.8266769e-05,8310113
wt_003018R0,MG1655_WT,wt_003018,0,30,18,0.0,0.0,8310170
wt_003018R1,MG1655_WT,wt_003018,1,30,18,0.0,0.0,8310171
wt_003018R2,MG1655_WT,wt_003018,2,30,18,0.0,0.0,8310172
wt_003018R3,MG1655_WT,wt_003018,3,30,18,0.0,0.0,8310173
wt_00305R0,MG1655_WT,wt_00305,0,30,5,0.0,0.0,8310258
wt_00305R1,MG1655_WT,wt_00305,1,30,5,0.0,0.0,8310259
wt_00305R2,MG1655_WT,wt_00305,2,30,5,0.0,0.0,8310260
wt_00305R3,MG1655_WT,wt_00305,3,30,5,0.0,0.0,8310261
wt_003718R0,MG1655_WT,wt_003718,0,37,18,0.0,0.0,8309994
wt_003718R1,MG1655_WT,wt_003718,1,37,18,0.0,0.0,8309995
wt_003718R2,MG1655_WT,wt_003718,2,37,18,0.0,0.0,8309996
wt_003718R3,MG1655_WT,wt_003718,3,37,18,0.0,0.0,8309997
wt_00375R0,MG1655_WT,wt_00375,0,37,5,0.0,0.0,8310082
wt_00375R1,MG1655_WT,wt_00375,1,37,5,0.0,0.0,8310083
wt_00375R2,MG1655_WT,wt_00375,2,37,5,0.0,0.0,8310084
wt_00375R3,MG1655_WT,wt_00375,3,37,5,0.0,0.0,8310085
wt_013018R0,MG1655_WT,wt_013018,0,30,18,0.0,3.8812614e-05,8310238
wt_013018R1,MG1655_WT,wt_013018,1,30,18,0.0,3.8812614e-05,8310239
wt_013018R2,MG1655_WT,wt_013018,2,30,18,0.0,3.8812614e-05,8310240
wt_013018R3,MG1655_WT,wt_013018,3,30,18,0.0,3.8812614e-05,8310241
wt_01305R0,MG1655_WT,wt_01305,0,30,5,0.0,3.8812614e-05,8310326
wt_01305R2,MG1655_WT,wt_01305,2,30,5,0.0,3.8812614e-05,8310328
wt_01305R3,MG1655_WT,wt_01305,3,30,5,0.0,3.8812614e-05,8310329
wt_013718R0,MG1655_WT,wt_013718,0,37,18,0.0,3.8266769e-05,8310062
wt_013718R1,MG1655_WT,wt_013718,1,37,18,0.0,3.8266769e-05,8310063
wt_013718R2,MG1655_WT,wt_013718,2,37,18,0.0,3.8266769e-05,8310064
wt_013718R3,MG1655_WT,wt_013718,3,37,18,0.0,3.8266769e-05,8310065
wt_01375R0,MG1655_WT,wt_01375,0,37,5,0.0,3.8266769e-05,8310150
wt_01375R1,MG1655_WT,wt_01375,1,37,5,0.0,3.8266769e-05,8310151
wt_01375R2,MG1655_WT,wt_01375,2,37,5,0.0,3.8266769e-05,8310152
wt_01375R3,MG1655_WT,wt_01375,3,37,5,0.0,3.8266769e-05,8310153
wt_103018R0,MG1655_WT,wt_103018,0,30,18,0.003836358,0.0,8310194
wt_103018R1,MG1655_WT,wt_103018,1,30,18,0.003836358,0.0,8310195
wt_103018R2,MG1655_WT,wt_103018,2,30,18,0.003836358,0.0,8310196
wt_103018R3,MG1655_WT,wt_103018,3,30,18,0.003836358,0.0,8310197
wt_10305R0,MG1655_WT,wt_10305,0,30,5,0.003836358,0.0,8310282
wt_10305R1,MG1655_WT,wt_10305,1,30,5,0.003836358,0.0,8310283
wt_10305R2,MG1655_WT,wt_10305,2,30,5,0.003836358,0.0,8310284
wt_10305R3,MG1655_WT,wt_10305,3,30,5,0.003836358,0.0,8310285
wt_103718R0,MG1655_WT,wt_103718,0,37,18,0.00378305,0.0,8310018
wt_103718R1,MG1655_WT,wt_103718,1,37,18,0.00378305,0.0,8310019
wt_103718R2,MG1655_WT,wt_103718,2,37,18,0.00378305,0.0,8310020
wt_103718R3,MG1655_WT,wt_103718,3,37,18,0.00378305,0.0,8310021
wt_10375R0,MG1655_WT,wt_10375,0,37,5,0.00378305,0.0,8310106
wt_10375R1,MG1655_WT,wt_10375,1,37,5,0.00378305,0.0,8310107
wt_10375R2,MG1655_WT,wt_10375,2,37,5,0.00378305,0.0,8310108
wt_10375R3,MG1655_WT,wt_10375,3,37,5,0.00378305,0.0,8310109
wt_113018R0,MG1655_WT,wt_113018,0,30,18,0.003831525,3.8315204e-05,8310218
wt_113018R1,MG1655_WT,wt_113018,1,30,18,0.003831525,3.8315204e-05,8310219
wt_113018R2,MG1655_WT,wt_113018,2,30,18,0.003831525,3.8315204e-05,8310220
wt_113018R3,MG1655_WT,wt_113018,3,30,18,0.003831525,3.8315204e-05,8310221
wt_11305R0,MG1655_WT,wt_11305,0,30,5,0.003831525,3.8315204e-05,8310306
wt_11305R1,MG1655_WT,wt_11305,1,30,5,0.003831525,3.8315204e-05,8310307
wt_11305R2,MG1655_WT,wt_11305,2,30,5,0.003831525,3.8315204e-05,8310308
wt_11305R3,MG1655_WT,wt_11305,3,30,5,0.003831525,3.8315204e-05,8310309
wt_113718R0,MG1655_WT,wt_113718,0,37,18,0.00377832,3.7783126e-05,8310042
wt_113718R2,MG1655_WT,wt_113718,2,37,18,0.00377832,3.7783126e-05,8310044
wt_113718R3,MG1655_WT,wt_113718,3,37,18,0.00377832,3.7783126e-05,8310045
wt_11375R0,MG1655_WT,wt_11375,0,37,5,0.00377832,3.7783126e-05,8310130
wt_11375R2,MG1655_WT,wt_11375,2,37,5,0.00377832,3.7783126e-05,8310132
wt_11375R3,MG1655_WT,wt_11375,3,37,5,0.00377832,3.7783126e-05,8310133
